app_name,score,label,processed_content
MB Bank,5,Positive,tốt
MB Bank,3,Neutral,ít lỗi như hơi chậm
MB Bank,5,Positive,tốt
MB Bank,5,Positive,sao mình đăng kí bằng số căn cước chính chủ mà vẫn không được
MB Bank,5,Positive,tốt job
MB Bank,5,Positive,rất tốt
MB Bank,5,Positive,không bị lỗi bao giờ dùng rất mượt
MB Bank,5,Positive,không vui âul
MB Bank,1,Negative,chậm dùng bất tiện mã qr quét cũng không nổi làm dở lỡ hết công việc người khác
MB Bank,1,Negative,đăng nhập không được để sai mật khẩu gửi mã đổi mật khẩu cũng không được
MB Bank,5,Positive,mong khi mở ứng dụng tải nhanh hơn không bị chậm ạ tại em vào bị chậm quá cảm ơn ạ
MB Bank,5,Positive,tốt
MB Bank,3,Neutral,tôi rút tiền cây rút tiền qua mã bước cuối là nhận mã mã otp lúc trước gửi mã otp qua tin nhắn về số điện thoại bây giờ gửi về ứng dụng tôi hỏi lúc tạo mà ở nhà có mạng internet lúc ở cây rút tiền không có mạng thì ứng dụng nhận mã kiểu gì sao không gửi về số điện thoại như trước
MB Bank,5,Positive,tuyệt
MB Bank,5,Positive,sài rất đỉnh ạ bảo mật cao sử dụng tốt ns chung là rất ưng
MB Bank,3,Neutral,mở ứng dụng chậm tải lâu quá
MB Bank,1,Negative,định danh mà lỗi hoài mới làm được thì đơ làm lại thì lại lỗi chán
MB Bank,5,Positive,tốt
MB Bank,5,Positive,ngân hàng tốt 👍
MB Bank,5,Positive,qua tốt nhanh gon le
MB Bank,1,Negative,chậm vô lâu mỗi lần chuyển cả 10p rất bực
MB Bank,1,Negative,vào ứng dụng gì mà chậm như chậm có chuyển tiền thôi mà 10p mới xong
MB Bank,5,Positive,rất hài lòng
MB Bank,1,Negative,ứng dụng tối ưu không tốt giật chậm nhiều
MB Bank,5,Positive,tốt rất nhanh và hiệu quả
MB Bank,5,Positive,rất ổn
MB Bank,2,Negative,không hỉu tại sao tui đã đánh đúng mật khẩu nhưng cứ bị bảo sai
MB Bank,1,Negative,từ 15 5 2026 đến 3 6 2026 và cho đến tận bao giờ cái ứng dụng chậm lòi ra mà không sửa lỗi mb nuôi báo cô bọn it à đăng nhập vào cái ứng dụng mất cả phút bank thì mãi mới tải
MB Bank,5,Positive,sao ít ng dùng mb nhỉ khá niche
MB Bank,5,Positive,nhận diện mặt hơi chán
MB Bank,1,Negative,ngân hàng như cái gì mất 4p chờ gặp nhân viên tư vấn đang tư vấn nhân viên cúp máy
MB Bank,5,Positive,dung tốt lam admin
